,date,dB,something,ping,upload,download,jitter
0,2022-10-11 12:30:01,-29.9,12.7,705.18,9.07,37.55,37.55
1,2022-10-11 12:35:01,-29.6,12.9,683.09,6.88,37.11,37.11
2,2022-10-11 12:40:01,-29.7,12.8,707.55,7.51,38.15,38.15
3,2022-10-11 12:45:01,-29.7,12.7,694.09,12.67,38.09,38.09
4,2022-10-11 12:50:01,-29.8,12.8,698.18,14.34,38.19,38.19
5,2022-10-11 12:55:01,-29.6,12.8,708.55,15.6,37.34,37.34
6,2022-10-11 13:00:01,-29.6,12.9,697.64,8.98,35.87,35.87
7,2022-10-11 13:05:01,-29.5,12.9,690.18,20.77,37.82,8.16
8,2022-10-11 13:10:02,-29.6,12.9,698.64,14.08,30.36,6.95
9,2022-10-11 13:15:01,-29.9,12.6,701.0,10.56,35.08,6.58
10,2022-10-11 13:20:01,-29.5,12.8,705.36,11.21,36.12,6.35
11,2022-10-11 13:25:01,-29.4,12.6,697.18,14.41,37.89,6.68
12,2022-10-11 13:30:01,-29.4,12.6,697.91,13.78,38.08,6.85
13,2022-10-11 13:35:01,-29.5,12.6,704.91,22.92,29.45,6.45
14,2022-10-11 13:40:01,-29.7,12.5,704.73,12.57,34.28,6.45
15,2022-10-11 13:45:01,-29.5,12.7,697.64,19.29,34.99,6.85
16,2022-10-11 13:50:01,-29.4,12.7,701.27,18.91,38.08,6.75
17,2022-10-11 13:55:01,-29.6,12.6,705.55,17.3,38.12,6.73
18,2022-10-11 14:00:01,-29.4,12.8,708.36,15.18,37.99,7.15
19,2022-10-11 14:05:01,-29.7,12.6,690.91,19.23,37.27,3.46
20,2022-10-11 14:10:01,-29.8,12.6,702.36,15.01,37.85,7.71
21,2022-10-11 14:15:01,-29.6,12.8,697.73,14.25,38.36,6.7
22,2022-10-11 14:20:01,-29.7,12.6,708.82,16.08,37.64,6.5
23,2022-10-11 14:25:01,-29.7,12.8,744.64,67.57,39.05,6.97
24,2022-10-11 14:30:02,-29.7,12.8,715.64,8.69,36.69,1.71
25,2022-10-11 14:35:01,-29.6,12.6,705.36,7.72,37.01,2.27
26,2022-10-11 14:40:01,-29.8,12.6,705.18,7.84,33.96,1.09
27,2022-10-11 14:45:01,-29.7,12.7,712.64,5.85,32.85,6.58
28,2022-10-11 14:50:01,-29.6,12.7,693.91,16.44,36.98,6.48
29,2022-10-11 14:55:01,-29.3,12.8,719.27,3.58,26.41,6.75
30,2022-10-11 15:00:01,-29.2,12.9,701.91,37.76,38.36,2.99
31,2022-10-11 15:05:01,-29.4,12.9,697.64,21.18,38.02,7.05
32,2022-10-11 15:10:01,-29.6,12.8,704.09,11.62,38.31,6.45
33,2022-10-11 15:15:01,-29.8,12.5,708.55,10.0,38.33,2.65
34,2022-10-11 15:20:01,-29.8,12.8,701.64,17.58,33.52,3.54
35,2022-10-11 15:25:02,-29.7,12.8,704.55,4.85,32.5,6.58
36,2022-10-11 15:30:01,-29.9,12.8,689.64,14.57,36.92,6.7
37,2022-10-11 15:35:01,-29.8,12.8,686.64,15.49,36.72,6.5
38,2022-10-11 15:40:01,-29.9,12.7,694.0,15.74,34.49,6.73
39,2022-10-11 15:45:01,-30.0,12.7,697.91,14.11,29.74,6.75
40,2022-10-11 15:50:01,-29.9,12.6,697.64,17.14,35.96,6.5
41,2022-10-11 15:55:01,-29.7,12.6,702.82,17.09,26.59,6.97
42,2022-10-11 16:00:01,-29.8,12.3,697.36,11.1,36.37,6.92
43,2022-10-11 16:05:01,-29.8,12.6,708.82,2.25,37.14,6.73
44,2022-10-11 16:10:01,-29.6,12.6,701.45,7.66,28.26,6.6
45,2022-10-11 16:15:01,-29.8,12.6,708.64,9.54,39.14,7.22
46,2022-10-11 16:20:01,-29.8,12.6,682.09,9.89,34.46,6.85
47,2022-10-11 16:25:01,-29.6,12.9,697.73,15.14,35.58,4.23
48,2022-10-11 16:30:01,-29.9,12.6,708.45,13.96,38.12,6.68
49,2022-10-11 16:35:01,-29.6,12.7,697.73,8.29,34.42,7.1
50,2022-10-11 16:40:01,-30.0,12.6,698.36,16.06,38.2,6.7
51,2022-10-11 16:45:01,-29.8,12.5,700.91,21.0,26.95,7.07
52,2022-10-11 16:50:01,-30.1,12.5,704.64,6.35,22.44,4.6
53,2022-10-11 16:55:01,-30.1,12.5,712.18,4.91,33.92,7.29
54,2022-10-11 17:00:01,-30.1,12.6,701.0,10.31,31.04,6.8
55,2022-10-11 17:05:01,-30.1,12.5,708.27,5.57,36.09,7.1
56,2022-10-11 17:10:01,-30.2,12.4,697.91,14.65,37.31,7.07
57,2022-10-11 17:15:01,-30.0,12.8,711.82,6.72,36.09,7.0
58,2022-10-11 17:20:01,-30.0,12.5,701.36,10.56,38.11,2.55
59,2022-10-11 17:25:01,-30.1,12.6,696.82,12.85,32.05,6.73
60,2022-10-11 17:30:01,-29.9,12.6,730.09,48.95,29.32,6.82
61,2022-10-11 17:35:02,-30.0,12.6,705.0,10.02,36.14,6.68
62,2022-10-11 17:40:01,-29.9,12.8,713.36,6.65,32.87,6.73
63,2022-10-11 17:45:01,-29.9,12.5,709.09,7.97,34.3,5.44
64,2022-10-11 17:50:01,-29.9,12.5,701.27,9.43,28.51,2.99
65,2022-10-11 17:55:01,-30.0,12.4,700.55,11.82,35.8,6.97
66,2022-10-11 18:00:01,-29.9,12.6,712.09,7.77,15.79,6.95
67,2022-10-11 18:05:01,-29.9,12.4,712.55,21.69,35.3,7.07
68,2022-10-11 18:10:01,-29.9,12.6,711.91,8.81,27.14,6.82
69,2022-10-11 18:15:01,-30.0,12.8,705.18,13.06,30.93,6.63
70,2022-10-11 18:20:02,-30.1,12.5,705.73,9.03,24.24,7.12
71,2022-10-11 18:25:01,-30.2,12.5,706.0,26.36,17.63,6.95
72,2022-10-11 18:30:01,-30.0,12.5,711.73,14.52,21.09,7.86
73,2022-10-11 18:35:01,-30.1,12.6,704.82,10.74,18.05,7.0
74,2022-10-11 18:40:01,-30.0,12.9,704.91,9.73,35.44,6.78
75,2022-10-11 18:45:01,-30.1,12.6,709.36,7.93,27.58,7.05
76,2022-10-11 18:50:01,-30.4,12.6,712.18,5.4,18.13,7.0
77,2022-10-11 18:55:01,-30.4,12.7,708.55,2.2,35.71,7.1
78,2022-10-11 19:00:01,-30.4,12.6,707.64,13.03,29.61,6.95
79,2022-10-11 19:05:01,-30.3,12.7,700.36,17.84,29.87,7.39
80,2022-10-11 19:10:01,-30.6,12.6,714.18,2.84,28.61,6.75
