name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
oxford,2022-10-11T00:00:00,4.8,3.5,2.2,83.22,0,0,,0,0,16.6,5.8,220,1027.2,0,12.7,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T01:00:00,4,4,2.3,88.66,0,0,,0,0,14.8,4.5,348,1027.5,0,12.7,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T02:00:00,3.8,2.6,2.2,88.98,0,0,,0,0,14.8,5.3,246,1027.7,1.8,13,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T03:00:00,3.9,3.9,2.3,89.73,0,0,,0,0,14.8,4.3,341,1027.6,0.4,12.8,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T04:00:00,3.3,2,1.8,89.83,0,0,,0,0,14.8,5.6,350,1027.3,14.3,13,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T05:00:00,2.8,2.8,1.5,91.04,0,0,,0,0,11.2,4.5,338,1027.2,5.6,13,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T06:00:00,1.8,1.8,0.6,91.69,0,0,,0,0,11.2,3.7,244,1027.6,0,13.4,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T07:00:00,2.2,2.2,1,91.83,0,0,,0,0,11.2,4.5,11,1027.8,11.3,13.7,5,0,0,,Clear,clear-night,"03680099999,03647099999,03660099999,E4320,03649099999,03658099999,03740099999"
oxford,2022-10-11T08:00:00,2.2,0.8,0.7,89.92,0,0,,0,0,9.4,5.2,6,1028,11.3,13.7,27,0.1,0,,Clear,clear-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T09:00:00,5,5,3.8,91.45,0,0,,0,0,1.8,2.6,227,1028,0,14.3,88,0.3,1,,Clear,clear-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T10:00:00,9.3,9.3,5.5,77.24,0,0,,0,0,5.4,2.3,203,1028,11.3,14.4,138,0.5,1,,Clear,clear-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T11:00:00,11.6,11.6,6.2,69.19,0,0,,0,0,7.6,4.1,233,1028.1,25.2,14.1,196,0.7,2,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T12:00:00,13.3,13.3,5.6,59.67,0,0,,0,0,11.2,4.2,254,1027.7,25.2,14.7,396,1.4,4,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T13:00:00,14.6,14.6,5.3,53.64,0,0,,0,0,16.6,6.9,186,1027.4,30.4,15.6,424,1.5,4,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T14:00:00,14.8,14.8,4.9,51.53,0,0,,0,0,16.6,6.9,200,1026.9,40,17.3,391,1.4,4,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T15:00:00,14.3,14.3,4.5,51.89,0,0,,0,0,20.5,6,149,1026.3,41.5,16.3,272,1,3,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T16:00:00,14.7,14.7,4.6,50.7,0,0,,0,0,14.8,4.9,162,1025.7,45.2,17.2,180,0.6,2,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T17:00:00,14.3,14.3,4.5,52.08,0,0,,0,0,11.2,3.7,227,1025.4,25.1,15,56,0.2,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T18:00:00,12.5,12.5,4.1,56.4,0,0,,0,0,5.4,3.6,210,1025.4,13.9,16.5,8,0,0,,Clear,clear-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T19:00:00,8.8,8.4,4,71.85,0,0,,0,0,5.4,5,142,1025.2,0,16.4,3,0,0,,Clear,clear-night,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T20:00:00,8.1,8.1,4.3,77.06,0,0,,0,0,5.4,4.1,148,1025.2,0,16.5,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T21:00:00,6.7,6.7,3.6,80.33,0,0,,0,0,5.4,1.6,180,1025.1,0,16.4,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T22:00:00,6.1,6.1,3.2,82.14,0,0,,0,0,7.6,3.2,227,1024.9,0,15.1,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-11T23:00:00,5.2,5.2,3,85.43,0,0,,0,0,9.4,3.5,221,1024.9,5.8,14.6,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T00:00:00,4.9,4.9,3.3,89.53,0,0,,0,0,9.4,4.6,134,1024.6,1.4,15.1,,,,,Clear,clear-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T01:00:00,4.8,4.8,3.4,90.66,0,0,,0,0,9.4,4.7,228,1024.3,26.8,13.5,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T02:00:00,4.9,4.9,3.6,91.48,0,0,,0,0,14.8,3.9,199,1024.2,28.9,13,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T03:00:00,4.5,4.5,3,90,0,0,,0,0,13,4.7,156,1023.6,60.8,13.2,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T04:00:00,5.6,5.6,4.8,94.65,0,0,,0,0,9.4,4,139,1022.9,91,12.5,,,,,Overcast,cloudy,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T05:00:00,5.7,4.6,4.7,93.2,0,0,,0,0,7.6,6.1,3,1022.3,68.6,10.3,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T06:00:00,6.1,6.1,5,92.96,0,0,,0,0,11.2,4.5,146,1022.1,93.6,10.3,,,,,Overcast,cloudy,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T07:00:00,6.3,5.2,5.5,94.44,0,0,,0,0,13,6.3,132,1021.9,54.8,13.1,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T08:00:00,7.1,6.3,5.9,92.11,0,0,,0,0,16.6,5.7,163,1021.8,89.9,12.9,10,0,0,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T09:00:00,8.4,7.6,6.8,89.65,0,0,,0,0,25.9,5.8,158,1021.4,38.5,14.8,77,0.3,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T10:00:00,11.3,11.3,8.3,81.78,0.06,100,rain,0,0,25.9,11.7,179,1021.1,24.5,15,164,0.6,2,,"Rain, Partially cloudy",rain,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T11:00:00,12.2,12.2,8.5,78,0,0,,0,0,20.5,10.5,202,1021.2,82.1,13.8,187,0.7,2,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T12:00:00,14.5,14.5,9.4,71.15,0,0,,0,0,33.5,14.1,194,1020.2,34.3,15,415,1.5,4,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T13:00:00,15.4,15.4,9.1,65.85,0,0,,0,0,38.9,18.4,209,1019.9,67.5,15.2,422,1.5,4,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03660099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T14:00:00,15.3,15.3,9.2,66.86,0,0,,0,0,29.5,15.4,208,1019.1,92.6,14.2,146,0.5,1,,Overcast,cloudy,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T15:00:00,15.7,15.7,8.7,63.11,0,0,,0,0,31.7,15.6,223,1018.7,88.4,15,111,0.4,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T16:00:00,15.7,15.7,9.5,66.7,0,0,,0,0,24.1,12.5,217,1018.3,88.4,15,95,0.3,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T17:00:00,15.5,15.5,9.5,67.44,0.01,100,rain,0,0,24.1,12.5,215,1017.8,92.6,15,38,0.1,0,,"Rain, Overcast",rain,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T18:00:00,14.7,14.7,9.6,71.26,0,0,,0,0,24.1,10.5,198,1017.5,92.6,15,3,0,0,,Overcast,cloudy,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T19:00:00,14.6,14.6,9.6,72.07,0,0,,0,0,27.7,14.7,212,1017.5,88.8,15,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T20:00:00,13.8,13.8,9.9,77.44,0,0,,0,0,27.7,12.6,205,1017.7,95.6,10.2,,,,,Overcast,cloudy,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T21:00:00,13.6,13.6,11.1,84.66,0,0,,0,0,24.1,11.5,211,1017.6,96,11,,,,,Overcast,cloudy,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T22:00:00,13.6,13.6,11.6,87.54,0,0,,0,0,18.4,10.1,220,1017.7,93,10.7,,,,,Overcast,cloudy,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-12T23:00:00,13.1,13.1,11.5,90.09,0,0,,0,0,9.4,8.8,208,1017.5,88.8,9.3,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T00:00:00,12.8,12.8,12,94.81,0,0,,0,0,16.6,7,233,1017.8,92.6,8.9,,,,,Overcast,cloudy,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T01:00:00,12.3,12.3,11.9,97.43,0.12,100,rain,0,0,9.4,5.8,223,1017.6,96,9.3,,,,,"Rain, Overcast",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T02:00:00,12.7,12.7,11.9,94.97,0.12,100,rain,0,0,11.2,5.4,219,1017.4,88.8,7.7,,,,,"Rain, Partially cloudy",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T03:00:00,12,12,11.9,99.34,0.12,100,rain,0,0,18.4,6.2,237,1017.1,92.6,6.2,,,,,"Rain, Overcast",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T04:00:00,11.8,11.8,11.4,97.4,0.03,100,rain,0,0,13,4,236,1016.7,60.8,7.7,,,,,"Rain, Partially cloudy",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T05:00:00,11.2,11.2,10.4,94.87,0.02,100,rain,0,0,9.4,3.9,6,1016.4,93.4,3.6,,,,,"Rain, Overcast",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T06:00:00,10.2,10.2,10.2,99.78,0.01,100,rain,0,0,7.6,1.1,238,1016,80,3,,,,,"Rain, Partially cloudy",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T07:00:00,9.2,8.9,8.8,97.33,0.89,100,rain,0,0,5.4,5.1,244,1016.4,64.7,3.6,,,,,"Rain, Partially cloudy",rain,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T08:00:00,9.4,9.4,8.7,95,0,0,,0,0,5.4,3.5,24,1016.1,66.6,1.9,15,0.1,0,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T09:00:00,10.6,10.6,10.3,97.97,0,0,,0,0,5.4,4.5,322,1016.1,51.8,0.4,53,0.2,1,,Partially cloudy,fog,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T10:00:00,11.2,11.2,11.1,99.42,0.83,100,rain,0,0,9.4,4.5,354,1016.1,89.1,5,124,0.4,1,,"Rain, Partially cloudy",rain,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T11:00:00,11.9,11.9,11.4,96.28,0,0,,0,0,5.4,4.1,2,1016.4,91.5,5.5,81,0.3,1,,Overcast,cloudy,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T12:00:00,12.7,12.7,11.4,91.8,0,0,,0,0,5.4,4.4,339,1016.3,63.6,9.8,344,1.2,3,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T13:00:00,13.6,13.6,11.2,85.17,0,0,,0,0,7.6,7.3,254,1015.9,62,12.8,198,0.7,2,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T14:00:00,14.7,14.7,10.2,74.36,0,0,,0,0,5.4,5.9,230,1015.4,62,13.3,140,0.5,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T15:00:00,14.6,14.6,10.5,76.18,0,0,,0,0,3.6,5.9,275,1015,48,14.2,139,0.5,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T16:00:00,15.2,15.2,9.9,70.52,0,0,,0,0,11.2,6.6,310,1014.6,23.6,15,133,0.5,1,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T17:00:00,14.5,14.5,9.9,73.61,0,0,,0,0,7.6,7,260,1014.6,39.7,15,35,0.1,0,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T18:00:00,12.8,12.8,9.8,82.11,0,0,,0,0,7.6,4,246,1014.7,68.5,12.7,4,0,0,,Partially cloudy,partly-cloudy-day,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T19:00:00,10.6,10.6,8.6,87.64,0,0,,0,0,7.6,3.4,159,1015,3.6,11.3,1,0,0,,Clear,clear-night,"03680099999,03647099999,E7521,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T20:00:00,10.1,10.1,9.2,93.75,0,0,,0,0,11.2,5.5,348,1015.1,2,11.5,,,,,Clear,clear-night,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T21:00:00,9.2,9.2,8.2,93.35,0,0,,0,0,7.6,2.5,168,1014.9,7.7,11.2,,,,,Clear,clear-night,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T22:00:00,8.8,8.8,8.2,95.87,0,0,,0,0,13,2.9,208,1014.6,43,10.7,,,,,Partially cloudy,partly-cloudy-night,"03680099999,03647099999,03761099999,03649099999,03658099999,03740099999"
oxford,2022-10-13T23:00:00,8.1,8.1,7.7,97.09,0,0,,0,0,6.8,2.5,22,1014,88.5,8.1,,,,,Partially cloudy,partly-cloudy-night,"EGWU,EGVN,EGVO,EGVA,EGUB"
oxford,2022-10-14T00:00:00,8.9,8.9,8.1,94.25,0,0,,0,0,8.3,1.2,283,1014,93.8,7.8,,,,,Overcast,cloudy,"EGWU,EGVN,EGVO,EGVA,EGUB"
oxford,2022-10-14T01:00:00,8.9,8.9,8.5,97.11,0,0,,0,0,7.9,3.6,210.7,1013.5,95.8,6.5,,,,,Overcast,cloudy,"EGWU,EGVN,EGVO,EGVA,EGUB"
